Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml
2024-03-24,4.8327093150678735,4.734578929297707,0.9942288880671356,4.953730904842367,8.24551139064802,2.6940860792337613,4.051154944619701,2,-0.24923843678953972,2.0,2.0
2024-03-25,3.972504769487984,4.751141512062084,0.8097108008664988,4.983195905772886,2.966930863258632,2.6943379224249813,4.052509286713905,2,0.01656258276437672,1.0,2.0
2024-03-26,0.0414778606563359,4.683862114833775,-0.0179288604170982,4.8631657692892825,6.640276146536372,2.6945246165966608,4.0530382619904834,2,-0.067279397228309,1.0,1.0
2024-03-27,-0.7637444542950789,4.451067933365661,-0.1997719734528606,4.720893571129294,8.526376357457188,2.6945810127292606,4.053343337888343,2,-0.2327941814681136,1.0,1.0
2024-03-28,1.8397189971880223,4.241707575109425,0.4041449807905896,4.572471612933731,9.922666488105136,2.69463740886186,4.0547671664014056,2,-0.20936035825623645,1.0,1.0
2024-03-29,-1.2118158012203395,4.073113104560425,-0.328316434534853,4.440178447986274,3.8781413718169233,2.69469380499446,4.0577324204855705,2,-0.16859447054899945,1.0,1.0
2024-03-30,-0.3547757048682598,3.90062928766578,-0.1231160000548949,4.270076003107013,-0.4491391025393199,2.694882118890489,4.056461597306642,1,-0.17248381689464543,1.0,1.0
2024-03-31,2.395285869630293,3.71757393364457,0.610568004676886,4.076818366869172,1.9046689064346367,2.6950704327865176,4.055190774127714,1,-0.1830553540212101,1.0,1.0
2024-04-01,-2.3137002333259105,3.6181909766066327,-0.6741364454840436,3.910242975517367,0.3547131274038051,2.695258746682547,4.053919950948788,1,-0.0993829570379372,1.0,1.0
2024-04-02,-6.299090436988486,3.538797301262546,-1.8154599036860657,3.769660920747991,-7.784096306772703,2.695373894987364,4.053419840555411,1,-0.07939367534408648,1.0,1.0
2024-04-03,0.8123743073319645,3.96696940272376,0.1731599281139383,3.748432180380658,-5.759906198220399,2.6954524604965764,4.053305086554809,1,0.42817210146121365,1.0,1.0
2024-04-04,3.759886271186197,3.783215174730233,0.9606728490454496,3.724949357793548,-1.6452442221659425,2.695531026005788,4.053190332554206,1,-0.1837542279935267,1.0,1.0
2024-04-05,-0.9845630418288563,3.792192440207697,-0.2927112033623975,3.7398730591061735,-5.025093133625092,2.695644734177263,4.0530382619904834,1,0.008977265477463803,1.0,1.0
2024-04-06,1.5482496362563936,3.630370842647478,0.3919146355011718,3.742309032314343,-1.1631432640427877,2.6958287276732644,4.0528115583005215,1,-0.16182159756021885,1.0,1.0
2024-04-07,0.6747455363626642,3.491202217392221,0.1573358778532273,3.732790015540277,5.810692709308363,2.6960127211692657,4.052584854610559,1,-0.13916862525525708,1.0,1.0
2024-04-08,3.218579409702116,3.334713617514152,0.9275534854719392,3.606338858498357,8.216897811678514,2.696196714665267,4.052358150920597,1,-0.15648859987806896,1.0,1.0
2024-04-09,-3.541376120378814,3.337811139192812,-1.0985733279060523,3.517258051390872,0.9156354201135032,2.6963057964939066,4.051636227140059,1,0.0030975216786597315,1.0,1.0
2024-04-10,2.0739301242535646,3.401192265086488,0.5728802730526885,3.43905801636663,3.974128586195924,2.696414878322546,4.050914303359521,1,0.06338112589367606,1.0,1.0
2024-04-11,-0.7497782584511725,3.3065900702089093,-0.264693357989187,3.3743018618789167,1.676100691488358,2.696523960151186,4.050192379578984,1,-0.0946021948775786,1.0,1.0
2024-04-12,-4.174897018143575,3.169623502232284,-1.3567388006307608,3.309986118846929,-3.1735418630178813,2.696773335068193,4.049817457369751,1,-0.13696656797662543,1.0,1.0
2024-04-13,-5.1522049715234886,3.334784018919331,-1.5826089822632323,3.310000199127965,-11.544326244243486,2.697092856529384,4.04961603594617,1,0.16516051668704712,1.0,1.0
2024-04-14,2.959850149495935,3.6149917426181535,0.784067068633745,3.3654363198130333,-5.043099974368737,2.6974123779905748,4.049414614522589,1,0.2802077236988225,1.0,1.0
2024-04-15,-3.5810999496508344,3.5667916135007127,-1.03918437689133,3.398556189495878,-10.698130048273136,2.6980079333224403,4.049161221723518,1,-0.04820012911744076,1.0,1.0
2024-04-16,0.6061920177229396,3.607409478293686,0.1332640083942465,3.4587200711128334,-9.342159772099023,2.6991555563956564,4.048803886173469,1,0.04061786479297336,1.0,1.0
2024-04-17,-4.053958534994528,3.442508816333661,-1.2140601313468269,3.513297133933109,-9.221221288949977,2.700303179468872,4.048446550623421,1,-0.16490066196002529,1.0,1.0
