Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml,price,sma_50,trend_dist,return,trend_strength,signal,realized_vol,dynamic_target,position
2021-12-08,-0.3859286221386426,3.8321623954353328,-0.1334449692095251,3.9779604328645455,-5.94480260158079,2.79637951167256,4.3133605678411575,1,-0.19372102532581081,1.0,1.0,50504.796875,59509.4246875,-0.15131431466168133,-0.003859286221386426,-0.0059983643773237295,-1,0.03432396405451328,0.005,0.0
2021-12-09,-5.77215558084756,3.653759163012564,-1.6141210978752747,4.008186260562821,-3.156115096911982,2.796824125275517,4.31252484392658,1,-0.1784032324227689,1.0,1.0,47672.12109375,59143.010390625,-0.1939517319310026,-0.0577215558084756,-0.009907790820062792,-1,0.03545477193196005,0.005,0.0
2021-12-10,-0.9035819421615798,3.973971404955529,-0.2589440154512688,3.9286779644362495,-4.400866686318317,2.7972687388784743,4.311689120012003,1,0.32021224194296494,1.0,1.0,47243.3046875,58843.673046875,-0.19713875356037214,-0.009035819421615798,-0.0116987047720456,-1,0.034255524672678186,0.005,0.0
2021-12-11,4.388024071672447,3.797935889428064,1.1223385610093135,3.856742454718527,-2.4416952997887265,2.797524197502917,4.311599039719527,1,-0.17603551552746488,1.0,1.0,49362.5078125,58617.077890625,-0.15788180528878154,0.04388024071672447,-0.008688379954266702,-1,0.035904128568425404,0.005,0.0
2021-12-12,1.4796607838164275,3.8733997745969937,0.3496170526914435,3.826245725485697,-1.1939812896589077,2.79777965612736,4.31150895942705,1,0.07546388516892977,1.0,1.0,50098.3359375,58391.172265625,-0.14202209009266642,0.014796607838164276,-0.005825823838486068,-1,0.03455288725572072,0.005,0.0
2021-12-13,-6.9441370308174655,3.714822583936761,-1.903076403194371,3.802777763185982,-7.75218969833773,2.7980351147518023,4.311418879134572,1,-0.15857719066023268,1.0,1.0,46737.48046875,58107.30515625,-0.19566945424377616,-0.06944137030817465,-0.010421954759055387,-1,0.03645530905218787,0.005,0.0
2021-12-14,-0.2674827620426256,4.218563758156329,-0.0931447182726661,3.915738682214736,-2.247516879532796,2.7986036153157,4.311344454981738,1,0.5037411742195683,1.0,1.0,46612.6328125,57778.761328125,-0.19325662681158343,-0.0026748276204262562,-0.009423760141844807,-1,0.0356830405522836,0.005,0.0
2021-12-15,4.783877809998138,4.015184389841882,1.160201671200326,3.923981279192006,3.439942872626922,2.7993286368493253,4.311277858898725,1,-0.20337936831444736,1.0,1.0,48896.72265625,57549.419921875,-0.1503524671034267,0.04783877809998138,-0.00790741314488477,-1,0.03756664854025675,0.005,0.0
2021-12-16,-2.550406419845963,4.110213984997508,-0.6510270755583815,3.9864368983058944,-3.498487618891488,2.8000536583829505,4.311211262815712,1,0.09502959515562637,1.0,1.0,47665.42578125,57333.080703125,-0.16862263118102522,-0.02550406419845963,-0.005838926303743631,-1,0.037039207236856865,0.005,0.0
2021-12-17,-3.118009325604021,4.00656341724583,-0.8095375409182342,4.013069626835661,-8.096157728311937,2.800578602331452,4.311164098510992,1,-0.10365056775167858,1.0,1.0,46202.14453125,57044.680859375,-0.19007094377219375,-0.03118009325604021,-0.008546954446916733,-1,0.036805558016253716,0.005,0.0
2021-12-18,1.3898695656308746,3.956501133871673,0.3195791817371333,4.061405336822645,0.2378488681364032,2.800703391109708,4.311155797762859,1,-0.050062283374156635,1.0,1.0,46848.77734375,56737.097109375,-0.1742831457619832,0.013898695656308746,-0.01002378897799572,-1,0.036979251434115096,0.005,0.0
2021-12-19,-0.3030530184135571,3.78909593124927,-0.1130895593341188,3.975511771441232,0.2022786117654718,2.800828179887963,4.3111474970147246,1,-0.16740520262240333,1.0,1.0,46707.015625,56433.46078125,-0.17235244873519456,-0.003030530184135571,-0.010660399698113745,-1,0.03660757778496919,0.005,0.0
2021-12-20,0.3702680378991019,3.612216972431746,0.0677738544061399,3.894918287959205,-4.211331160333565,2.800952968666218,4.311139196266591,1,-0.1768789588175239,1.0,1.0,46880.27734375,56144.6871875,-0.16500955491675834,0.003702680378991019,-0.009777469558110409,-1,0.034487735999102535,0.005,0.0
2021-12-21,4.292879288746754,3.444398644805829,1.2099137027315718,3.7617552199208695,2.631954548259152,2.801016805930659,4.31064777694144,1,-0.16781832762591709,1.0,1.0,48936.61328125,55903.331328125,-0.1246208031142867,0.04292879288746754,-0.007827468950479146,-1,0.035432868339031406,0.005,0.0
2021-12-22,-0.6315834406489529,3.5535987148484467,-0.2130340739408344,3.671162279441393,5.11838043321422,2.8010806431951,4.3101563576162905,1,0.10920007004261789,1.0,1.0,48628.51171875,55611.373515625,-0.12556535390935883,-0.006315834406489529,-0.0074818955653665154,-1,0.033915521248320125,0.005,0.0
2021-12-23,4.338193932958667,3.3973761381897964,1.2399980428652777,3.559337280305017,8.066704800542013,2.8011444804595405,4.3096649382911405,1,-0.15622257665865025,1.0,1.0,50784.5390625,55367.663359375,-0.08277619135066812,0.04338193932958667,-0.0026962193156200532,-1,0.03529667410233127,0.005,0.0
2021-12-24,0.074121566755636,3.518558949003565,-0.0145890987516427,3.505229883855877,8.443879385711206,2.801290035665043,4.309164374479937,1,0.1211828108137687,1.0,1.0,50822.1953125,55155.06265625,-0.07855792623705794,0.00074121566755636,0.0016212630105159483,-1,0.03526919484748639,0.005,0.0
2021-12-25,-0.7749727198993028,3.3556459642053174,-0.268331909930393,3.453915682210591,7.298638627912801,2.801476449841077,4.308659238425706,1,-0.16291298479824778,1.0,1.0,50429.859375,54941.146328125,-0.0821112636817267,-0.007749727198993028,0.0010631918269439198,-1,0.03522429574323303,0.005,0.0
2021-12-26,0.7500204929835164,3.216148741021136,0.1941969643042969,3.408265701453652,3.755779832149564,2.8016628640171106,4.308154102371476,1,-0.13949722318418134,1.0,1.0,50809.515625,54726.78703125,-0.07157868420108726,0.007500204929835164,0.0002237757308642493,-1,0.03527479198909105,0.005,0.0
2021-12-27,-0.3333620966692763,3.0788202217798832,-0.149023403234034,3.31331000283994,4.0540011761292405,2.8018190416127173,4.307748717331048,1,-0.13732851924125278,1.0,1.0,50640.41796875,54473.055625,-0.07035841137009836,-0.003333620966692763,-5.887870431369321e-05,-1,0.033766132715728835,0.005,0.0
2021-12-28,-6.21514265119778,2.947341454849547,-2.151293604441761,3.2233030661718898,-6.499335408027207,2.801914746047471,4.307542834318228,1,-0.1314787669303361,1.0,1.0,47588.85546875,54073.496171875,-0.11992271930250785,-0.0621514265119778,-0.002973485718843262,-1,0.03151640262382524,0.005,0.0
2021-12-29,-2.4336011956341608,3.491687904285327,-0.732899227110067,3.2179288572282423,-9.007058170417004,2.802010450482224,4.307336951305406,1,0.5443464494357797,1.0,1.0,46444.7109375,53662.953828125,-0.1345107262217438,-0.024336011956341608,-0.0013042085262365624,-1,0.031839968961110784,0.005,0.0
