Date,decision,regime,volatility,vol_trend_5,ret_5d
2023-07-08,MANTENER,0,2.176369403313522,2.212694414499174,-2.8119436777091167
2023-07-09,MANTENER,0,2.103754556071789,2.179699071033091,-1.9897602513987425
2023-07-10,MANTENER,0,2.041620212045474,2.1418672105555747,-0.3272530187528488
2023-07-11,MANTENER,0,1.989056364644796,2.104523667382739,2.35137178180036
2023-07-12,MANTENER,0,1.9366200538923053,2.049484117993577,0.16261382987377
2023-07-13,MANTENER,0,1.90158017335372,1.9945262720016168,3.8325390843908735
2023-07-14,MANTENER,0,2.148530905619292,2.0034815419111176,0.5382482861486793
2023-07-15,MANTENER,0,2.4183476761799776,2.078827034738018,-0.3909196887537547
2023-07-16,MANTENER,0,2.327733899027204,2.1465625416145,-1.2216936781609178
2023-07-17,MANTENER,0,2.2439146151355485,2.2080214538631484,-0.811923253675495
2023-07-18,MANTENER,0,2.1696007934818886,2.2616255778887817,-5.282223703112976
2023-07-19,MANTENER,0,2.125109206552753,2.2569412380754743,-1.3947397311085297
2023-07-20,MANTENER,0,2.054261232108954,2.1841239492612696,-1.6768882674872645
2023-07-21,MANTENER,0,1.9962186327410567,2.1178208960040403,-1.1316632893219492
2023-07-22,MANTENER,0,1.9369056997623275,2.056419112929396,-1.2486822818237542
2023-07-23,MANTENER,0,1.889922239066787,2.000483402046376,0.7606722460064219
2023-07-24,MANTENER,0,1.8610051816488176,1.9476625970655883,-2.4946202655076632
2023-07-25,MANTENER,0,2.085662211121158,1.9539427928680293,-1.913412086719113
2023-07-26,MANTENER,0,2.017711385472676,1.9582413434143533,-1.8688925786893409
2023-07-27,MANTENER,0,1.957413528949772,1.962342909251842,-1.9027009152056351
2023-07-28,MANTENER,0,1.90985768010128,1.9663299974587407,-2.5767223730913003
2023-07-29,MANTENER,0,1.8570739591982064,1.9655437529686184,0.6150375203016978
2023-07-30,MANTENER,0,1.8068189622763389,1.9097751031996544,0.1638145935338286
2023-07-31,MANTENER,0,1.76556358266706,1.8593455426385312,-0.4262570220568307
2023-08-01,MANTENER,0,1.7252186400171066,1.8129065648519984,1.5794902189814053
2023-08-02,MANTENER,0,1.7447430482431612,1.779883638480375,-0.5722049531630802
2023-08-03,MANTENER,0,1.8127707811445213,1.7710230028696377,-0.6089929521527537
2023-08-04,MANTENER,0,1.7661448426041608,1.7628881789352022,-0.6896989280384958
2023-08-05,MANTENER,0,1.7305431224931391,1.755884086900418,-0.6451958347863496
2023-08-06,MANTENER,0,1.6924544999488949,1.7493312588867755,-2.1591540168481416
2023-08-07,MANTENER,0,1.656366381919731,1.7316559256220896,0.0981241150805445
2023-08-08,MANTENER,0,1.6268083581888333,1.6944634410309518,1.9911447350683176
2023-08-09,MANTENER,0,1.7058829348826865,1.682411059486657,1.6625179479918373
2023-08-10,MANTENER,0,1.6889770814326477,1.6740978512745586,1.3253262380510833
2023-08-11,MANTENER,0,1.6631548692878362,1.668237925142347,1.2178863453234712
2023-08-12,MANTENER,0,1.6308617610827538,1.663137000974951,0.8034193587992178
2023-08-13,MANTENER,0,1.5997269880692973,1.657720726951044,-1.6345534115503213
2023-08-14,MANTENER,0,1.58247438565419,1.6330390171053448,-0.5190818623725946
2023-08-15,MANTENER,0,1.5585414390514274,1.6069518886291008,-0.8847989753151708
2023-08-16,MANTENER,0,1.563797727783696,1.5870804603282729,-2.395782767004917
2023-08-17,MANTENER,0,1.6396315686776377,1.5888344218472497,-9.82025517032472
2023-08-18,MANTENER,1,2.9141721375303216,1.8517234517394543,-11.700345963261505
2023-08-19,MANTENER,1,2.900853665419644,2.115399307692545,-11.9491917756541
2023-08-20,MANTENER,1,2.7763456208678465,2.358960144055829,-10.77909282176801
2023-08-21,MANTENER,1,2.661005871508902,2.5784017728008704,-9.409930224358298
2023-08-22,MANTENER,0,2.555256633159407,2.761526785697224,-2.4021651666771504
2023-08-23,MANTENER,0,2.458713739665927,2.670435106124345,1.456105253619988
2023-08-24,MANTENER,0,2.406926297789916,2.5716496325984,0.2532330824283946
2023-08-25,MANTENER,0,2.34561453952114,2.4855034163290584,-0.5433531032762673
2023-08-26,MANTENER,0,2.266144403939905,2.4065311228152586,-0.4437834154602527
2023-08-27,MANTENER,0,2.1867338950634982,2.3328265751960773,0.2227000405643053
2023-08-28,MANTENER,0,2.112074934549613,2.2634988141728143,-1.239086731839656
2023-08-29,MANTENER,0,2.0421997446671702,2.1905535035482653,5.80985910135805
2023-08-30,MANTENER,1,2.7519268225027576,2.271815960144589,4.685829407919684
